segment,ch0_psd_mean_asym,ch0_theta_power_asym,ch0_alpha_power_asym,ch0_beta_power_asym,ch0_alpha_theta_ratio_asym,ch0_alpha_beta_ratio_asym,ch0_hjorth_mobility_asym,ch0_hjorth_complexity_asym,ch0_lz_complexity_asym,ch0_lyapunov_asym,ch0_entropy_asym,ch0_fractal_dim_asym,ch1_psd_mean_asym,ch1_theta_power_asym,ch1_alpha_power_asym,ch1_beta_power_asym,ch1_alpha_theta_ratio_asym,ch1_alpha_beta_ratio_asym,ch1_hjorth_mobility_asym,ch1_hjorth_complexity_asym,ch1_lz_complexity_asym,ch1_lyapunov_asym,ch1_entropy_asym,ch1_fractal_dim_asym,ch2_psd_mean_asym,ch2_theta_power_asym,ch2_alpha_power_asym,ch2_beta_power_asym,ch2_alpha_theta_ratio_asym,ch2_alpha_beta_ratio_asym,ch2_hjorth_mobility_asym,ch2_hjorth_complexity_asym,ch2_lz_complexity_asym,ch2_lyapunov_asym,ch2_entropy_asym,ch2_fractal_dim_asym,ch3_psd_mean_asym,ch3_theta_power_asym,ch3_alpha_power_asym,ch3_beta_power_asym,ch3_alpha_theta_ratio_asym,ch3_alpha_beta_ratio_asym,ch3_hjorth_mobility_asym,ch3_hjorth_complexity_asym,ch3_lz_complexity_asym,ch3_lyapunov_asym,ch3_entropy_asym,ch3_fractal_dim_asym,plv_ch0_ch1_asym,plv_ch0_ch2_asym,plv_ch0_ch3_asym,plv_ch1_ch2_asym,plv_ch1_ch3_asym,plv_ch2_ch3_asym,source_file,class_label
0,2.0436539095047173,5.588984694352814,0.569076752781489,0.2957582513456498,1.3890081697273748,1.3235454242663491,2.7527983366003124,,-6.0000030000015,-2.291043220521507,91.85087565742955,-116.42324343267224,-3.507855519888738,2.382792580292542,0.8282536517227893,0.1906829132675493,-1.2601421984751844,-1.8168722922195284,-13.54912988644004,,12.999987000013,4.297780580205539,-40.82405995799819,64.95608957073436,19.549865021705298,-4.985765556790261,0.2763593542947795,0.0716576461867652,-22.121044683886467,-3.976237037483897,3.02542586280496,,-13.000013000013,-2.1419195814913814,92.81438619919815,291.1761163095171,7657585.996516169,103.80446346382084,0.3847330610665698,0.2574865531926287,7272.5298814662,340850.810847546,74446527.99387038,,12000000.0,22462.825453904003,7485072.791149748,2228641.801519116,-1.6799445610975212,3.639905940433964,-5.468301717367417,-3.204524595408724,-4.160643693568325,-1.987921782266508,s00_features_asymmetry.csv,1
1,160.8426890861433,4.719201303786508,0.4458864750826975,0.1822605392905746,4.871711558541531,2.869469712979499,4.893544584815328,,-11.000011000011,-3.566420787169551,30.696672261743448,-171.71462193451995,-24.52852121782775,-3.106393214294443,0.5204029764057727,0.1903891067926249,9.729444703488433,-5.134978677290465,9.995389526293971,,12000000.0,-14.253272597736878,63.54848560734904,1092.5976344174553,-32.8774103788838,-6.52009605558378,0.3760661672509789,0.1375214559662936,-6.862961260990138,-3.402326475705536,6.838641945006759,,14000000.0,-8.30143803005294,-157.42603799337903,245.76012467815767,15751234.799836174,121.7423308538876,0.1727324168212053,0.0695373777970218,2791.8080357668,166928.5306700526,50458168.692706265,,12000000.0,19492.3672356172,7210312.783282921,2230295.844451746,-4.128601796239117,-1.3546816979443177,-4.613387266940433,-7.437493800866266,-6.206283515258693,-2.6095218498197466,s00_features_asymmetry.csv,1
2,14.335188698848988,3.5278019868145414,0.5347182555680897,0.2830091626722864,1.574831314615052,1.3949503829417376,13.95895547581268,,12000000.0,-1.2252646534869354,-293.5898105587318,-69.23602721971494,8.699602905621107,450.242707640329,0.4427152285121524,0.1976666022925049,-5.405299562484729,-6.237516484374423,-16.137042304184543,,12000000.0,1.2791830183578536,633.2087926847983,-135.7893880020066,-12.574186139685208,-1.5081700629222683,0.2874887884751247,0.0896035328237498,1.7340617820160973,-6.677376029796795,-5.474085301809394,,14000000.0,7.097980092105809,-81.46988126499286,-52.59270320233644,6615752.767374892,62.92563967589186,0.2351508151734902,0.0751646947522868,7243.696522586601,226633.4000073764,76685227.84554566,,12000000.0,2515.029969392,7143615.572421121,2213532.2881107274,-4.763661922892912,-19.37808307514633,-42.70279261755231,17.873671696901102,-7.9905788233454835,46.04507601239069,s00_features_asymmetry.csv,1
3,2.4153870672304683,2.646279536296289,0.5313447656374232,0.2928027855630957,2.3076469479199275,1.6125884267344943,-120.55107120493577,,12000000.0,-3.584657167357674,-207.5963617125102,-396.0019557421584,3.7935447800451993,-2.980715516654277,0.3600067205817931,0.2061145107930073,3.2869701655294468,1125.7127042568466,8.408338017418833,,12000000.0,-13.852650033897724,-56.47157928053727,238.7085877653784,1.982720100620746,-1.1930783811687542,0.1939325092396206,0.071838619219153,1.123303274339284,5.161865229371483,10.65238189709272,,10.999989000011,-3.150980286876628,-157.56678759220964,111.436724913696,6001302.607932973,174.8870628590929,0.1552119443830457,0.0743516392926997,1754.927035073,149648.6337639156,95217111.8351344,,12000000.0,22758.322219953403,7490032.914625407,2218022.6267994875,-3.4213839976325566,38.71639630506069,-3.154244246647291,-5.845393224040048,-9.213971600632853,-4.198358991724506,s00_features_asymmetry.csv,1
4,2.705250671045452,-1.626987841689595,0.55304173346437,0.2281617476646905,1.0898966107489754,1.537096727038901,5.851695027041036,,-11.000011000011,207.66446411454308,-128.51357697656425,-56.86747049544511,3.4876374427174546,-1.6465827922743883,0.2972977114191579,0.1123637544571188,2.25097695162798,-4.258759271825873,-3.43591956249394,,5.9999970000015,3.140900824379675,155.47603258368997,-86.6455009421844,-2.585466589553365,-1.1274775312394418,0.3382564808920811,0.167016371618477,1.1273317031300996,654.934274032114,-2.219675598470206,,10000000.0,11.229227097558162,86.1449890988586,-199.8575547513003,5069274.559801028,160.40879104316713,0.2837787840647394,0.094100099710407,3494.6234405416,271026.9524403184,86987285.52027166,,12000000.0,27708.163073957003,6737406.777027424,2380902.3908964824,-4.193774910148896,11.100364452019544,8.429425028038052,5.30560431435546,-3.2622840232649706,8.379040449306569,s00_features_asymmetry.csv,0
5,9.36523036624345,2.537177588413301,0.59098271571262,0.1737973021533888,2.110411006831051,1.4135613183718716,11.636857275205765,,14000000.0,-3.598455396541746,-34.91672865202563,-129.67879020237913,13.119623606241598,-34.39204367939232,0.5804005798110481,0.4935608322416176,-5.430382398636549,-8.157211826968659,6.355917571249732,,14000000.0,-2.7544449909097697,55.79195538667723,-206.06092420558195,-4.036985380606192,-2.1194619756643385,0.2346553444293417,0.1134288531046843,1.6634826908996097,5.731707557786035,27.3905456352011,,12.999987000013,2.426855769359572,56.18017614043179,75.13977459613811,14288509.690319618,168.54529727003964,0.299862490203745,0.1909338021235722,3516.5143220448003,273730.3061490054,102321549.7926151,,14000000.0,41876.86818056301,6854119.381384481,2246278.64708348,-9.40466907948277,-7.193829606856868,-13.273490918035163,6.199802491057206,-5.155777503836474,9.637896880564536,s00_features_asymmetry.csv,1
6,-5.643381253691573,-2.363942716879989,0.4350036319291642,0.1776041382899159,1.1210372093150465,1.3664429420012172,-48.84898998508044,,-13.000013000013,20.666840731804008,331.1352265440077,-1203.988739960752,37.22972336884375,1.200962930303484,0.2975192279027809,0.1365440537974115,-1.2816728203030818,30.3073254188992,6.870822541606481,,12000000.0,3.6725006808806295,-56.98283010058132,-176.6266184977081,2.203759349265125,125.23053038031274,0.2801447120229072,0.0663343534536591,-6.465140778487663,-6.993026798124294,4.099918535796097,,12000000.0,-12.878504759362391,-130.07019101547937,277.0888571322414,21468821.89950905,14.322031252242413,0.1547205499589178,0.0817320978730156,18958.4920611716,148645.9762204768,104655390.56556842,,12000000.0,11239.8518382872,7138788.104493675,2181746.162120633,-5.363989930800038,-3.8379022503436775,-5.547814039986309,-11.258800506556891,-13.641058626014168,-4.1355810461753375,s00_features_asymmetry.csv,0
7,21.609711654024952,4.514577018211334,0.6178260883043198,0.2859253925400374,1.4687295279393342,1.363854874922841,-18.401878686324395,,12000000.0,-9.95805881616507,-371.7964421816939,181.1660582546708,-69.33903964246892,-2.697087314821964,0.585462106354447,0.1656966548090234,2.7814182042482347,-81.3977511455771,13.349049096640726,,12000000.0,-30.61710147994956,-36.25590143070135,83.43773034352112,-86.93222112167618,-1.7567382880942373,0.4117183268100418,0.1613360413023669,2.198465388525777,-8.194411499128526,-9.619368642382303,,12000000.0,-1.0895826415350782,251.1377145106734,-67.98320803973778,19658708.19253074,263.90798411320003,0.2233826436568556,0.0910063073125731,1680.1499541404,213660.4207033254,56645644.67926335,,12000000.0,29183.9196723646,7494873.423076169,2170303.041310495,-9.03263419160181,4.241404563528854,-69.98682255357663,30.92298970070656,-10.087729680945538,9.812646184270932,s00_features_asymmetry.csv,1
8,13.744733969941816,-2.4798505596650497,0.6354058520954129,0.277634347358171,1.0849892056007913,1.2653671033588931,-7.242483873318395,,-13.000013000013,-5.1513034263377735,-4050.327345558769,185.2868533929636,-21.946193971895177,20.82024400340084,0.2814304409268779,0.1122283801848104,-12.88834059768147,-36.125907507603806,11.774584819396615,,-13.000013000013,2.21169144221323,196.9989798538178,64.6705904981649,22.671036438311784,2.4883042330997456,0.2290783227263452,0.1661917802501427,-2.8551545479856943,22.8268760429793,33.97834556812433,,-13.000013000013,-3.0418836123468425,64.7778821056927,-68.97305537326251,28003659.78851121,104.67946774863252,0.212728146296499,0.0803696188253406,3988.1741217108,204509.952819455,110955317.83153008,,14000000.0,4386.048376364,7381205.885870288,2127829.574919705,-5.512667086358951,-16.530600587614654,-8.489919812334632,12.228927871201392,-10.82473123003751,28.735537926794787,s00_features_asymmetry.csv,0
9,2.2744701440767425,2.100472595041833,0.3462983085040774,0.1592164597143354,15.88629889940954,2.0808889680850893,168.30996176491772,,12.999987000013,1.5563173292951709,85.77154363978941,-407.8205659412501,-229.9228314562345,1.1925926884621227,0.4270686720390557,0.1695433819443962,-1.2210886277432988,33.9577045927863,8.25454820716685,,12000000.0,-2.633664409485398,-85.6331257911858,116.07405609548135,13.431621004899435,2.2437545881528056,0.2716631362756054,0.1733268915701068,-2.764080376085806,9.74425379442723,43.759254241492656,,12000000.0,-3.6187873096747225,61.646931012552656,163.91640097781402,9085848.3327159,34.791002409028366,0.208047548088013,0.1488701490990793,11309.6971794906,193634.360061484,68736175.18634696,,12000000.0,16511.1458068976,7440033.024792779,2211934.6255764617,-4.191071125258025,9.724397354201406,-6.815972851887325,-6.122537997666985,-5.58789048097236,-3.811310111341456,s00_features_asymmetry.csv,1
